_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry,geo_coordinates
68,13443955.0,Sheppard Ave E,Malvern St,68,68,68,SHEPPARD AVE E,MALVERN ST,6076,1568,Sheppard Ave E And Malvern St / Progress Ave,,SHEPPARD AVE E,MALVERN ST,PROGRESS AVE,,,Scarborough,Scarborough North(23),,,,42,,,2009-08-04T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2349310078247, 43.7946620094042]]}","(-79.2349310078247, 43.7946620094042)"
69,13444869.0,Ellesmere Rd,Military Trl,69,69,69,ELLESMERE RD,MILITARY TRL,6077,1195,Ellesmere Rd And Military Trl,,ELLESMERE RD,MILITARY TRL,,,,Scarborough,Scarborough-Rouge Park(25),,,,43,,,2009-08-05T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.1883100064072, 43.7865780023884]]}","(-79.1883100064072, 43.7865780023884)"
70,14228400.0,Kennedy Rd,401 C E Kennedy Rd Ramp,70,70,70,KENNEDY RD,401 C E KENNEDY RD RAMP,6078,920,Kennedy Rd And 401 C E Kennedy Rd Ramp / William Kitchen Rd,HWY 401 SOUTH INTERSECTION,KENNEDY RD,401 C E KENNEDY RD RAMP,WILLIAM KITCHEN RD,,,Scarborough,Scarborough Centre(21),,,,41,,,2017-12-19T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2838680047475, 43.7731870021528]]}","(-79.2838680047475, 43.7731870021528)"
71,13466730.0,University Ave,Richmond St W,71,71,71,UNIVERSITY AVE,RICHMOND ST W,6079,79,University Ave And Richmond St W,,UNIVERSITY AVE,RICHMOND ST W,,,,Toronto and East York,Spadina-Fort York(10),,,,52,,,2017-07-24T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3862910070768, 43.6500869989537]]}","(-79.3862910070768, 43.6500869989537)"
72,13466117.0,Adelaide St E,Parliament St,72,72,72,ADELAIDE ST E,PARLIAMENT ST,6080,214,Adelaide St E And Parliament St,,ADELAIDE ST E,PARLIAMENT ST,,,,Toronto and East York,Toronto Centre(13),,,,51,,,2017-06-05T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3635979983947, 43.6535639991237]]}","(-79.3635979983947, 43.6535639991237)"
73,13466931.0,University Ave,Adelaide St W,73,73,73,UNIVERSITY AVE,ADELAIDE ST W,6081,78,University Ave And Adelaide St W,,UNIVERSITY AVE,ADELAIDE ST W,,,,Toronto and East York,Spadina-Fort York(10),,,,52,,,2017-10-20T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3855560013834, 43.6488690023181]]}","(-79.3855560013834, 43.6488690023181)"
74,13466604.0,University Ave,Queen St W,74,74,74,UNIVERSITY AVE,QUEEN ST W,6083,80,University Ave And Queen St W,,UNIVERSITY AVE,QUEEN ST W,,,,Toronto and East York,Spadina-Fort York(10),,,,52,,,2017-08-31T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3866280046579, 43.6508519992253]]}","(-79.3866280046579, 43.6508519992253)"
75,13454197.0,Keele St,Wilson Ave,75,75,75,KEELE ST,WILSON AVE,6084,597,Keele St And Wilson Ave,,KEELE ST,WILSON AVE,,,,North York,York Centre(6),,,,31,,,2017-10-20T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4820690045095, 43.7266419991172]]}","(-79.4820690045095, 43.7266419991172)"
76,13468377.0,Lake Shore Blvd W,Spadina Ave,76,76,76,LAKE SHORE BLVD W,SPADINA AVE,6085,215,Lake Shore Blvd W And Spadina Ave / Lower Spadina Ave,E/B LAKE SHORE BLVD,LAKE SHORE BLVD W,SPADINA AVE,LOWER SPADINA AVE,,,Toronto and East York,Spadina-Fort York(10),,,,14,52.0,,2017-08-08T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3922259986906, 43.6384530045981]]}","(-79.3922259986906, 43.6384530045981)"
77,13469683.0,Lake Shore Blvd W,Park Lawn Rd,77,77,77,LAKE SHORE BLVD W,PARK LAWN RD,6086,230,Lake Shore Blvd W And Park Lawn Rd / Marine Parade Dr,,LAKE SHORE BLVD W,PARK LAWN RD,MARINE PARADE DR,,,Etobicoke York,Etobicoke-Lakeshore(3),,,,22,,,2017-10-06T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4812110096601, 43.6229680112056]]}","(-79.4812110096601, 43.6229680112056)"
78,13447964.0,Sheppard Ave E,Bayview Ave,78,78,78,SHEPPARD AVE E,BAYVIEW AVE,6087,648,Sheppard Ave E And Bayview Ave,,SHEPPARD AVE E,BAYVIEW AVE,,,,North York,Willowdale(18),Don Valley North(17),,,33,32.0,,2017-07-14T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.38805600118, 43.7665890046041]]}","(-79.38805600118, 43.7665890046041)"
79,13447719.0,Steeles Ave W,Weston Rd,79,79,79,STEELES AVE W,WESTON RD,6088,1289,Steeles Ave W And Weston Rd,,STEELES AVE W,WESTON RD,,,,Etobicoke York,Humber River-Black Creek(7),,,,31,,,2017-10-30T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5465260053289, 43.7702810010402]]}","(-79.5465260053289, 43.7702810010402)"
80,13448786.0,Lawrence Ave E,Greencedar Crct,80,80,80,LAWRENCE AVE E,GREENCEDAR CRCT,6089,419,Lawrence Ave E And Greencedar Crct / Greenbrae Crct,,LAWRENCE AVE E,GREENCEDAR CRCT,GREENBRAE CRCT,,,Scarborough,Scarborough-Guildwood(24),,,,43,,,2017-03-10T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.2330769989999, 43.7581840043566]]}","(-79.2330769989999, 43.7581840043566)"
81,13443562.0,Finch Ave E,Birchmount Rd,81,81,81,FINCH AVE E,BIRCHMOUNT RD,6090,1138,Finch Ave E And Birchmount Rd,,FINCH AVE E,BIRCHMOUNT RD,,,,Scarborough,Scarborough-Agincourt(22),,,,42,,,2017-03-10T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3059809951566, 43.7989979995184]]}","(-79.3059809951566, 43.7989979995184)"
82,13468751.0,Bloor St W,The East Mall,82,82,82,BLOOR ST W,THE EAST MALL,6092,792,Bloor St W And The East Mall,,BLOOR ST W,THE EAST MALL,,,,Etobicoke York,Etobicoke Centre(2),Etobicoke-Lakeshore(3),,,22,,,2017-12-19T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5567089997178, 43.6369290009577]]}","(-79.5567089997178, 43.6369290009577)"
83,13455040.0,Wilson Ave,Jane St,83,83,83,WILSON AVE,JANE ST,6094,532,Wilson Ave And Jane St,,WILSON AVE,JANE ST,,,,Etobicoke York,Humber River-Black Creek(7),York Centre(6),,,31,,,2017-03-09T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.5086339938217, 43.7209150020263]]}","(-79.5086339938217, 43.7209150020263)"
84,13442867.0,Warden Ave,McNicoll Ave,84,84,84,WARDEN AVE,MCNICOLL AVE,6095,1287,Warden Ave And Mcnicoll Ave,,WARDEN AVE,MCNICOLL AVE,,,,Scarborough,Scarborough-Agincourt(22),,,,42,,,2017-03-10T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3209749936509, 43.8063490021709]]}","(-79.3209749936509, 43.8063490021709)"
85,13446042.0,Steeles Ave W,Keele St,85,85,85,STEELES AVE W,KEELE ST,6097,602,Steeles Ave W And Keele St,,STEELES AVE W,KEELE ST,,,,Etobicoke York,Humber River-Black Creek(7),York Centre(6),,,31,,,2017-03-10T05:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.4945059992452, 43.7815790029302]]}","(-79.4945059992452, 43.7815790029302)"
86,13467345.0,University Ave,Wellington St W,86,86,86,UNIVERSITY AVE,WELLINGTON ST W,6098,76,University Ave And Wellington St W,,UNIVERSITY AVE,WELLINGTON ST W,,,,Toronto and East York,Spadina-Fort York(10),,,,52,,,2017-09-06T04:00:00,"{'type': 'MultiPoint', 'coordinates': [[-79.3840989922877, 43.6463830046885]]}","(-79.3840989922877, 43.6463830046885)"
